,round,arena,pirate1,pirate2,pirate3,pirate4,fa1,fa2,fa3,fa4,odds1,odds2,odds3,odds4,winner
0,3574,0,7,19,4,13,0,0,0,0,6,2,3,11,3
1,3574,1,18,12,17,14,0,0,0,0,13,2,3,3,4
2,3574,2,2,16,9,3,0,0,0,0,13,2,6,5,2
3,3574,3,10,20,1,6,0,0,0,0,13,13,2,13,3
4,3574,4,8,15,11,5,0,0,0,0,13,2,13,6,2
5,3795,0,6,18,4,9,-1,2,1,1,13,7,2,7,3
6,3795,1,19,7,17,8,0,0,4,3,2,13,2,8,3
7,3795,2,14,13,15,2,0,1,1,2,13,13,2,6,3
8,3795,3,20,16,10,3,1,0,-3,1,2,2,13,7,2
9,3795,4,1,12,5,11,1,2,-1,2,2,7,5,7,1
10,3937,0,19,2,17,4,0,-2,3,3,4,13,3,2,4
11,3937,1,5,7,8,1,3,3,3,1,3,11,13,2,1
12,3937,2,3,15,10,13,0,2,0,0,13,2,13,13,4
13,3937,3,20,16,6,14,0,1,-1,0,4,2,11,5,3
14,3937,4,11,18,9,12,3,2,1,2,7,7,13,2,3
15,3939,0,2,7,9,20,3,2,-1,-1,4,2,13,2,3
16,3939,1,8,15,16,1,0,0,2,4,13,2,9,2,3
17,3939,2,6,14,5,11,0,3,0,1,7,2,3,4,3
18,3939,3,13,4,18,19,-2,-1,0,0,13,13,13,2,3
19,3939,4,10,3,17,12,0,4,6,2,13,13,2,2,4
20,3983,0,7,13,15,3,-1,1,2,0,13,13,2,13,3
21,3983,1,2,4,14,9,1,-3,5,3,6,13,2,6,3
22,3983,2,6,10,17,12,-2,-1,-1,1,13,13,2,2,3
23,3983,3,18,8,20,1,-1,2,-1,2,13,13,6,2,3
24,3983,4,11,5,16,19,0,0,0,1,13,13,8,2,4
25,4000,0,19,5,16,20,0,1,3,0,2,6,3,6,2
26,4000,1,4,11,10,17,3,0,0,2,2,13,13,2,4
27,4000,2,1,7,12,6,4,-1,3,1,2,13,7,7,2
28,4000,3,9,18,2,3,1,3,2,5,13,3,2,3,3
29,4000,4,13,14,15,8,0,1,-1,3,8,13,2,6,3
30,4476,0,20,12,8,1,-1,5,-3,6,13,10,13,2,4
31,4476,1,2,19,18,6,1,1,1,-1,13,2,13,9,2
32,4476,2,10,13,4,14,1,-2,-1,1,13,6,4,2,1
33,4476,3,11,7,3,9,1,-1,3,-1,5,4,2,7,3
34,4476,4,16,15,5,17,2,1,1,6,13,2,13,2,2
35,4509,0,6,11,13,1,-1,2,1,-1,13,13,2,2,3
36,4509,1,10,8,2,3,0,1,3,3,13,11,2,2,4
37,4509,2,17,15,7,18,2,1,2,0,9,2,9,13,4
38,4509,3,19,20,16,14,2,0,-1,1,2,9,7,13,4
39,4509,4,4,12,5,9,-1,1,1,1,4,6,2,7,3
40,4511,0,20,19,9,10,1,0,1,0,2,2,13,13,1
41,4511,1,18,15,13,3,0,0,-2,2,13,2,12,13,2
42,4511,2,8,16,12,4,-2,5,5,0,13,2,2,5,2
43,4511,3,6,5,11,14,1,-1,-1,1,3,4,12,2,4
44,4511,4,17,1,2,7,3,3,2,0,4,2,13,13,2
45,4538,0,17,9,1,11,3,2,0,3,3,13,2,5,3
46,4538,1,18,10,14,20,1,-1,2,1,10,13,4,2,4
47,4538,2,2,4,8,16,-1,2,1,3,13,4,13,2,4
48,4538,3,12,15,19,13,1,1,-2,0,13,2,6,10,2
49,4538,4,6,5,3,7,0,0,2,0,5,4,8,2,1
50,4542,0,12,14,1,18,2,2,3,0,13,12,2,13,3
51,4542,1,3,7,15,4,2,0,-1,3,13,13,2,2,4
52,4542,2,17,13,19,2,3,0,-2,3,2,12,3,3,1
53,4542,3,9,20,6,8,-1,-1,-2,3,13,2,6,2,2
54,4542,4,16,11,10,5,1,0,1,0,2,13,10,2,4
55,4543,0,11,3,14,6,1,4,1,2,13,6,5,2,4
56,4543,1,16,18,4,19,4,2,-2,0,2,13,13,2,2
57,4543,2,20,9,10,7,-1,-2,0,1,2,13,13,2,1
58,4543,3,15,5,2,1,-2,0,2,2,7,13,12,2,3
59,4543,4,13,12,8,17,-1,-1,2,1,9,13,9,2,4
60,4544,0,5,3,10,18,2,4,-1,0,2,6,13,5,1
61,4544,1,19,13,6,9,1,1,-1,0,2,2,13,13,1
62,4544,2,12,15,20,1,2,-1,1,1,13,2,5,2,2
63,4544,3,2,17,4,8,0,5,-1,0,13,2,8,13,2
64,4544,4,11,7,16,14,1,-2,4,2,13,13,2,6,3
65,4545,0,13,17,9,16,0,1,-1,2,7,3,13,2,4
66,4545,1,14,2,11,6,2,4,1,1,7,2,8,2,4
67,4545,2,20,4,12,7,-1,0,3,0,10,2,4,3,4
68,4545,3,15,5,18,1,2,0,0,2,2,13,13,3,1
69,4545,4,3,19,8,10,5,0,2,0,13,2,10,12,2
70,4546,0,12,4,2,1,4,2,1,2,8,3,13,2,4
71,4546,1,6,8,16,10,0,-2,3,2,13,13,2,7,3
72,4546,2,5,18,9,14,1,2,-2,3,3,3,13,2,1
73,4546,3,11,3,15,7,3,5,-1,1,13,10,2,5,3
74,4546,4,19,17,13,20,-1,4,0,2,7,5,13,2,1
75,4547,0,19,1,2,9,-3,0,-3,2,9,2,13,12,2
76,4547,1,14,16,15,6,1,2,0,1,13,6,2,9,2
77,4547,2,10,12,8,18,0,2,1,1,13,2,4,2,2
78,4547,3,7,3,11,5,3,2,-2,1,2,8,13,2,1
79,4547,4,20,4,17,13,2,0,4,3,4,13,2,2,1
80,4558,0,13,6,14,19,-1,-1,1,2,13,13,13,2,4
81,4558,1,7,9,18,17,0,-3,-1,1,6,13,8,2,4
82,4558,2,4,1,5,11,0,-2,1,2,4,3,3,5,4
83,4558,3,8,15,16,2,1,2,1,2,13,2,7,13,2
84,4558,4,3,12,10,20,2,0,0,-1,12,3,13,2,2
85,4561,0,19,7,15,12,-1,0,1,3,13,13,2,7,3
86,4561,1,14,11,2,9,1,2,0,0,4,4,2,7,2
87,4561,2,10,20,17,8,-3,1,2,5,13,4,2,2,2
88,4561,3,18,4,3,6,1,3,2,2,13,2,13,2,2
89,4561,4,13,5,16,1,1,3,5,6,13,13,7,2,4
90,4568,0,20,4,6,3,0,0,0,5,3,4,5,3,4
91,4568,1,16,18,12,14,3,0,4,-1,2,13,2,9,1
92,4568,2,9,1,8,5,1,0,1,1,13,2,13,2,4
93,4568,3,10,7,13,19,1,2,2,-1,13,5,7,2,4
94,4568,4,17,2,15,11,4,0,2,3,9,13,2,13,3
95,4575,0,1,5,4,14,0,0,2,3,4,6,3,3,1
96,4575,1,2,12,20,10,-1,1,1,1,13,8,2,7,4
97,4575,2,7,3,13,9,0,0,-2,0,3,7,2,5,3
98,4575,3,6,8,17,19,2,1,5,-2,13,13,2,3,3
99,4575,4,11,15,16,18,3,-2,-1,0,13,2,5,5,1
100,4576,0,2,20,13,19,4,-3,1,1,10,13,12,2,4
101,4576,1,12,8,9,1,2,0,2,2,13,13,13,2,4
102,4576,2,14,5,15,7,2,0,0,-1,13,10,2,12,2
103,4576,3,3,16,11,4,3,4,1,0,13,2,13,2,4
104,4576,4,6,10,17,18,0,0,2,1,10,13,2,3,3
105,4577,0,16,13,3,11,1,-2,1,1,2,5,7,4,2
106,4577,1,1,8,18,5,0,4,2,1,4,7,4,2,4
107,4577,2,2,6,10,9,2,2,-1,0,3,2,8,5,2
108,4577,3,7,19,14,12,1,0,1,2,11,2,10,3,2
109,4577,4,15,4,17,20,-2,2,3,1,5,4,3,3,3
110,4587,0,9,20,7,5,0,1,2,-1,13,2,3,4,2
111,4587,1,11,3,8,18,0,2,5,1,13,13,2,2,4
112,4587,2,13,10,12,17,-3,0,0,3,13,13,9,2,4
113,4587,3,14,16,4,15,1,3,-1,3,13,13,13,2,4
114,4587,4,2,1,6,19,2,4,0,0,13,2,13,2,1
115,4588,0,5,10,7,13,1,2,2,0,4,13,2,2,1
116,4588,1,14,12,3,6,4,1,5,1,3,6,5,3,1
117,4588,2,1,9,17,4,2,2,5,-1,3,13,2,9,1
118,4588,3,15,19,11,20,1,0,2,0,2,3,13,6,1
119,4588,4,18,16,8,2,2,2,2,0,6,2,5,4,2
120,4596,0,19,12,2,13,-1,2,0,1,2,5,13,2,1
121,4596,1,1,7,14,5,-2,2,1,0,4,3,6,3,2
122,4596,2,18,16,15,10,3,5,3,0,13,8,2,13,2
123,4596,3,4,11,17,9,-1,0,1,0,2,13,2,12,2
124,4596,4,6,8,20,3,1,0,0,1,7,13,2,7,4
125,4597,0,1,10,7,12,3,-2,1,1,2,13,6,6,1
126,4597,1,9,4,14,18,0,1,4,2,13,6,2,6,3
127,4597,2,2,5,20,19,3,-1,0,1,13,13,7,2,4
128,4597,3,3,17,8,15,2,3,0,1,13,4,13,2,4
129,4597,4,11,13,6,16,-2,0,-1,1,13,5,13,2,4
130,4598,0,8,11,7,6,0,1,0,2,13,13,4,2,3
131,4598,1,5,3,18,16,-1,0,2,4,13,13,9,2,4
132,4598,2,19,2,17,13,0,-1,2,0,3,13,2,4,3
133,4598,3,20,14,15,4,1,5,-2,-1,5,4,2,5,3
134,4598,4,12,10,9,1,0,0,-2,-3,4,7,13,2,4
135,4599,0,3,15,18,17,3,0,-1,0,13,2,13,6,2
136,4599,1,8,11,12,5,0,4,3,1,13,9,2,2,4
137,4599,2,7,20,14,19,2,-1,0,0,13,13,13,2,4
138,4599,3,6,13,4,2,-2,-1,2,2,13,13,2,2,3
139,4599,4,9,16,10,1,0,6,0,6,13,4,13,2,4
140,4602,0,14,18,7,12,1,0,4,1,13,13,2,2,3
141,4602,1,1,13,15,8,2,1,2,0,4,13,2,13,1
142,4602,2,11,5,4,2,0,-2,2,1,13,13,2,3,3
143,4602,3,6,3,16,17,1,5,0,2,13,11,6,2,4
144,4602,4,20,9,10,19,-1,-1,-1,2,13,13,13,2,4
145,4603,0,4,15,16,13,1,2,3,2,13,2,4,5,2
146,4603,1,1,19,2,3,-1,1,1,2,4,2,8,13,2
147,4603,2,9,12,5,17,1,3,1,0,13,7,2,2,4
148,4603,3,10,18,14,20,0,2,1,0,13,3,6,2,2
149,4603,4,8,6,11,7,4,-1,3,3,5,12,5,2,4
150,4607,0,13,17,20,15,-3,-1,0,0,13,13,10,2,2
151,4607,1,16,14,12,8,3,0,3,1,2,9,3,7,1
152,4607,2,7,6,11,18,3,-1,3,-1,2,9,3,4,1
153,4607,3,10,9,5,3,-2,-1,2,0,13,13,2,5,3
154,4607,4,4,2,1,19,2,-1,3,0,13,13,2,2,4
155,4610,0,18,15,7,1,0,0,4,2,13,2,5,2,2
156,4610,1,6,3,13,4,-1,4,-2,1,13,7,9,2,4
157,4610,2,10,5,17,20,1,-1,1,3,13,12,4,2,2
158,4610,3,2,9,12,19,1,-1,2,1,13,13,9,2,4
159,4610,4,11,14,8,16,-2,2,1,1,13,6,7,2,2
160,4617,0,20,6,1,13,0,-1,1,1,8,13,2,3,3
161,4617,1,14,2,10,12,2,2,-2,3,5,6,13,2,1
