,parameters
ASC_1_Dan,-0.5505653467394124
ASC_2_Sproggie,-2.3848388387111976
ASC_3_Orvinn,-3.478558254027841
ASC_4_Lucky,-1.3890053586244873
ASC_5_Edmund,-1.9176565939575803
ASC_6_Peg Leg,-2.5675152075793033
ASC_7_Bonnie,-2.3143353273249554
ASC_8_Puffo,-2.8313558799919383
ASC_9_Stuff,-3.9019335823968233
ASC_10_Squire,-3.5882258128035347
ASC_11_Crossblades,-3.148241571143587
ASC_12_Stripey,-2.169326502336402
ASC_13_Ned,-1.7062936735036478
ASC_14_Fairfax,-2.5503454346078662
ASC_16_Franchisco,-1.2578784592762349
ASC_17_Federismo,-1.059757385133957
ASC_18_Blackbeard,-2.1826351058662317
ASC_19_Buck,-0.5605783719468618
ASC_20_Tailhook,-1.6608180038196982
PFA_1_Dan,0.15751645987509694
PFA_2_Sproggie,0.26306055273281875
PFA_3_Orvinn,0.2510034096704227
PFA_4_Lucky,0.15957937973235922
PFA_5_Edmund,0.2765431062703744
PFA_6_Peg Leg,0.31686653297964323
PFA_7_Bonnie,0.24768920967758712
PFA_8_Puffo,0.285786215512296
PFA_9_Stuff,0.41136162216849836
PFA_10_Squire,0.19728776166082862
PFA_11_Crossblades,0.1734956834280819
PFA_12_Stripey,0.1990091706829303
PFA_13_Ned,0.21651930132706249
PFA_14_Fairfax,0.24635467349368864
PFA_15_Gooblah,0.2830290762546854
PFA_16_Franchisco,0.18232531437739224
PFA_17_Federismo,0.16134106567663997
PFA_18_Blackbeard,0.17818977312520964
PFA_19_Buck,0.22463869805679468
PFA_20_Tailhook,0.263746530591703
NFA_1_Dan,0.4848181644060171
NFA_2_Sproggie,0.29222662204607447
NFA_3_Orvinn,0.3081939124010599
NFA_4_Lucky,0.5563766549979002
NFA_5_Edmund,0.3769723616138682
NFA_6_Peg Leg,0.40991670899985494
NFA_7_Bonnie,0.27537280651947094
NFA_8_Puffo,0.30379969759393904
NFA_9_Stuff,0.23787936378849991
NFA_10_Squire,0.36415617245862325
NFA_11_Crossblades,0.39280999692152224
NFA_12_Stripey,0.4926557869840621
NFA_13_Ned,0.47491197095698306
NFA_14_Fairfax,0.3458679227200068
NFA_15_Gooblah,0.5148615215428655
NFA_16_Franchisco,0.4190387704162794
NFA_17_Federismo,0.467664111731556
NFA_18_Blackbeard,0.47126361294532254
NFA_19_Buck,0.39898657940724974
NFA_20_Tailhook,0.3496888311601071
is_pos2_1_Dan,0.03925417444943404
is_pos2_2_Sproggie,0.021158502802025428
is_pos2_3_Orvinn,0.26431710202585473
is_pos2_4_Lucky,0.31204429700932157
is_pos2_5_Edmund,0.2958881513832007
is_pos2_6_Peg Leg,0.35684570379893654
is_pos2_7_Bonnie,0.29791053710022725
is_pos2_8_Puffo,-0.11960842734248468
is_pos2_9_Stuff,0.14139644699383916
is_pos2_10_Squire,0.5322022445170629
is_pos2_11_Crossblades,0.5803122626887958
is_pos2_12_Stripey,0.1789614080028699
is_pos2_13_Ned,0.35757006302708166
is_pos2_14_Fairfax,0.17338557991857295
is_pos2_15_Gooblah,0.09614330673313873
is_pos2_16_Franchisco,0.04440766774743298
is_pos2_17_Federismo,0.005601266028481538
is_pos2_18_Blackbeard,0.3639425702087654
is_pos2_19_Buck,0.2017361653921105
is_pos2_20_Tailhook,0.22341637538608014
is_pos3_1_Dan,0.2939627190206121
is_pos3_2_Sproggie,0.4130356702811393
is_pos3_3_Orvinn,0.6063865575638252
is_pos3_4_Lucky,0.552110704899289
is_pos3_5_Edmund,0.6067388559201926
is_pos3_6_Peg Leg,0.535076605287585
is_pos3_7_Bonnie,0.6017889410092438
is_pos3_8_Puffo,0.09687539841588022
is_pos3_9_Stuff,0.5246865975316289
is_pos3_10_Squire,0.955721909292628
is_pos3_11_Crossblades,0.638887704243457
is_pos3_12_Stripey,0.5345584917407379
is_pos3_13_Ned,0.6023746907980592
is_pos3_14_Fairfax,0.4677057109696638
is_pos3_15_Gooblah,0.41924324400559815
is_pos3_16_Franchisco,0.3342400003455908
is_pos3_17_Federismo,0.1814355382118914
is_pos3_18_Blackbeard,0.5712980298733475
is_pos3_19_Buck,0.5188904607014326
is_pos3_20_Tailhook,0.6170900411945157
is_pos4_1_Dan,0.47071198282107324
is_pos4_2_Sproggie,0.6068520106680823
is_pos4_3_Orvinn,0.8057835563581863
is_pos4_4_Lucky,0.8603270179693671
is_pos4_5_Edmund,0.8307141863013495
is_pos4_6_Peg Leg,0.7744623469044476
is_pos4_7_Bonnie,0.7588736594904442
is_pos4_8_Puffo,0.537381718645823
is_pos4_9_Stuff,0.8503685148423967
is_pos4_10_Squire,1.0968633716245804
is_pos4_11_Crossblades,1.021466842781995
is_pos4_12_Stripey,0.9041512251652759
is_pos4_13_Ned,0.9873876941901989
is_pos4_14_Fairfax,0.7178740178709884
is_pos4_15_Gooblah,0.542178134331314
is_pos4_16_Franchisco,0.6754851261575676
is_pos4_17_Federismo,0.5015137805345499
is_pos4_18_Blackbeard,0.8849107940325963
is_pos4_19_Buck,0.7538567262883
is_pos4_20_Tailhook,0.9079073224460276
